movie_id,name_id
tt0038733,nm0003836
tt0038733,nm0696247
tt0060908,nm0003606
tt0069049,nm0000080
tt0082620,nm0716460
tt0083907,nm0000600
tt0085953,nm0490551
tt0100275,nm0749914
tt0100275,nm0765384
tt0147855,nm0611531
tt0192669,nm0939869
tt0235166,nm0003761
tt0339091,nm0478713
tt0339736,nm1274189
tt0347307,nm0652673
tt0360556,nm1023919
tt0427543,nm0853374
tt0451279,nm0420941
tt0491175,nm0000123
tt0491203,nm0149491
tt0800325,nm0871860
tt0837563,nm1552637
tt0837563,nm1556116
tt0862930,nm1012100
tt0926132,nm1937564
tt0972544,nm1641117
tt0974015,nm0811583
tt10006270,nm0363087
tt10008784,nm2502502
tt10012964,nm0155127
tt10016532,nm6352742
tt10039468,nm1345541
tt10046236,nm6356309
tt10076722,nm8986705
tt10077998,nm5893763
tt10102350,nm5717949
tt10115562,nm0393394
tt10122392,nm1597629
tt10125662,nm7249446
tt10133300,nm4195915
tt10156112,nm1283069
tt10183616,nm2254779
tt10195210,nm6576432
tt10199586,nm2841936
tt10199590,nm1868177
tt10199670,nm2247200
tt10208198,nm8694244
tt10214842,nm1213790
tt10218674,nm0151135
tt10228204,nm4870005
tt10237612,nm0948596
tt1024855,nm1654324
tt1025100,nm0000487
tt10253466,nm4899218
tt10255320,nm0006395
tt10263320,nm5662493
tt10272534,nm0637615
tt10279010,nm0939147
tt10279010,nm1712317
tt10305616,nm4726499
tt10318332,nm2435139
tt10323688,nm6034923
tt10327842,nm0354918
tt10327842,nm0844896
tt10327842,nm2880943
tt10327842,nm3464186
tt10330046,nm5665415
tt1034385,nm1164755
tt10360782,nm10706694
tt10364402,nm1373966
tt10370402,nm1802591
tt10370434,nm10711773
tt10378798,nm2691863
tt10378798,nm4395571
tt10381126,nm9538737
tt10384108,nm7105926
tt10394822,nm5194762
tt10405902,nm7478007
tt10407272,nm0458251
tt10410520,nm10730089
tt10438658,nm10743381
tt10443252,nm2349080
tt10443808,nm0032714
tt10495746,nm2804902
tt10495912,nm1346477
tt10497826,nm5394027
tt10498810,nm2961993
tt10503934,nm0032714
tt10504752,nm8246243
tt10519182,nm3034399
tt10521814,nm5634068
tt10545040,nm4029670
tt10545484,nm10829550
tt10550884,nm8460699
tt10551420,nm1040773
tt10551608,nm9214307
tt10556036,nm10799725
tt10579992,nm3774181
tt10581102,nm1846164
tt10581102,nm5601644
tt10585038,nm10813251
tt10589914,nm0814469
tt10592506,nm5009037
tt10604464,nm6356309
tt10604464,nm7767102
tt10622790,nm6864027
tt10623524,nm7569493
tt10627720,nm1169562
tt10651188,nm2371539
tt10656240,nm0729764
tt10658960,nm9577548
tt10659288,nm8927691
tt10671436,nm3221779
tt10687168,nm0948523
tt10709404,nm4242010
tt10726604,nm7110804
tt1072748,nm1294961
tt1072748,nm1294962
tt10738914,nm0042768
tt10767426,nm2568708
tt10768678,nm10896846
tt10800758,nm2341549
tt10805432,nm3365624
tt10815982,nm9009028
tt10816510,nm2124532
tt10867504,nm10938984
tt10869474,nm8011781
tt10883272,nm3655122
tt10883506,nm3010935
tt10895780,nm10951298
tt10895830,nm10951338
tt10927122,nm5397315
tt10944714,nm3595665
tt11027104,nm4983993
tt11134856,nm11062254
tt1131728,nm7971037
tt1134664,nm1426355
tt1137450,nm0744834
tt1148205,nm0346841
tt1158939,nm2830839
tt1183352,nm0140196
tt1194606,nm0681247
