movie_id,name_id,category
tt0038733,nm0000057,actor
tt0038733,nm0001375,actress
tt0038733,nm0126402,actress
tt0038733,nm0178509,actor
tt0060908,nm0000869,actor
tt0060908,nm0000991,actress
tt0060908,nm0105482,actor
tt0060908,nm0108400,actor
tt0069049,nm0000953,actor
tt0069049,nm0001379,actor
tt0069049,nm0001782,actress
tt0069049,nm0462648,actress
tt0082620,nm0003104,actor
tt0082620,nm0122782,actress
tt0082620,nm0147736,actor
tt0082620,nm0588922,actor
tt0083907,nm0048260,actress
tt0083907,nm0132257,actor
tt0083907,nm0217822,actor
tt0083907,nm0762445,actress
tt0085953,nm0150874,actor
tt0085953,nm0387360,actor
tt0085953,nm0490623,actor
tt0085953,nm1845142,actor
tt0085953,nm4628925,actor
tt0100275,nm0016013,actor
tt0100275,nm0721280,actor
tt0100275,nm0728971,actress
tt0100275,nm1415193,actress
tt0147855,nm0006369,actor
tt0147855,nm0474876,actor
tt0147855,nm0474940,actress
tt0147855,nm0764407,actress
tt0192669,nm0095751,actress
tt0192669,nm0242903,actor
tt0192669,nm0299479,actor
tt0192669,nm0444339,actor
tt0235166,nm0000514,actor
tt0235166,nm0565247,actress
tt0235166,nm2199374,actor
tt0235166,nm2199466,actor
tt0339091,nm0001107,actress
tt0339091,nm0004793,actress
tt0339091,nm0428591,actress
tt0339091,nm0559069,actress
tt0339736,nm0000539,actress
tt0339736,nm0001218,actor
tt0339736,nm0077720,actor
tt0339736,nm0462735,actor
tt0347307,nm0111410,actor
tt0347307,nm0407597,actor
tt0347307,nm0586645,actor
tt0347307,nm0767512,actor
tt0347307,nm1300963,actress
tt0360556,nm0430107,actor
tt0360556,nm0441654,actress
tt0360556,nm0788335,actor
tt0360556,nm2210323,actor
tt0427543,nm0000610,actor
tt0427543,nm0000671,actor
tt0427543,nm1093951,actor
tt0427543,nm3747611,actress
tt0451279,nm0000705,actress
tt0451279,nm0205063,actress
tt0451279,nm1517976,actor
tt0451279,nm2933757,actress
tt0491175,nm0000194,actress
tt0491175,nm0000354,actor
tt0491175,nm1209966,actor
tt0491175,nm7415871,actor
tt0491203,nm0334441,actress
tt0491203,nm1925239,actor
tt0491203,nm2539953,actress
tt0491203,nm2851530,actor
tt0493405,nm0000352,actor
tt0493405,nm0671567,actor
tt0493405,nm1009277,actor
tt0493405,nm4023073,actress
tt0800325,nm0446622,actor
tt0800325,nm3150488,actor
tt0800325,nm3206486,actor
tt0800325,nm3701064,actor
tt0837563,nm0001475,actor
tt0837563,nm0164809,actor
tt0837563,nm1541272,actress
tt0837563,nm5503448,actress
tt0862930,nm0014474,actress
tt0862930,nm0368349,actor
tt0862930,nm0404003,actor
tt0862930,nm2382489,actress
tt0926132,nm0087756,actor
tt0926132,nm1453324,actor
tt0926132,nm1792165,actress
tt0926132,nm2495458,actor
tt0972544,nm0000496,actress
tt0972544,nm0001598,actor
tt0972544,nm0607185,actress
tt0972544,nm2443758,actress
tt0974015,nm0000255,actor
tt0974015,nm0597388,actor
tt0974015,nm2933757,actress
tt0974015,nm3009232,actor
tt10006270,nm0098573,actor
tt10006270,nm10541277,actor
tt10006270,nm1738477,actress
tt10006270,nm7007394,actor
tt10008784,nm0743931,actress
tt10008784,nm10630117,actress
tt10008784,nm10659033,actress
tt10008784,nm1726032,actor
tt10016532,nm4945396,actor
tt10016532,nm5295004,actor
tt10016532,nm6106052,actor
